application_id,crb_checked,crb_reason,tier3_cost,tier3_result,final_score,decision,recommended_amount
APP_000031,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 470, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",64.0,APPROVE_REDUCED,14000.0
APP_000032,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",56.4,APPROVE_REDUCED,10500.0
APP_000033,False,Sufficient data from Tier 1 and Tier 2,0,,68.0,APPROVE_REDUCED,3500.0
APP_000034,False,Sufficient data from Tier 1 and Tier 2,0,,63.2,APPROVE_REDUCED,1400.0
APP_000035,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 532, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",76.0,APPROVE,2000.0
APP_000036,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 596, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",77.6,APPROVE,20000.0
APP_000037,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 467, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",75.6,APPROVE,5000.0
APP_000038,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",54.400000000000006,REJECT,0.0
APP_000039,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 358, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",55.2,APPROVE_REDUCED,3500.0
APP_000040,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",65.2,APPROVE_REDUCED,10500.0
APP_000041,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 517, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",55.6,APPROVE_REDUCED,7000.0
APP_000042,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",72.0,APPROVE,20000.0
APP_000043,False,Sufficient data from Tier 1 and Tier 2,0,,63.2,APPROVE_REDUCED,700.0
APP_000044,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",73.6,APPROVE,5000.0
APP_000045,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",55.6,APPROVE_REDUCED,7000.0
APP_000046,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",75.2,APPROVE,2000.0
APP_000047,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000048,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 558, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",86.0,APPROVE,3000.0
APP_000049,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 400, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",49.2,REJECT,0.0
APP_000050,False,Sufficient data from Tier 1 and Tier 2,0,,70.4,APPROVE,10000.0
APP_000051,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",64.4,APPROVE_REDUCED,14000.0
APP_000052,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 408, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",53.2,REJECT,0.0
APP_000053,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",75.2,APPROVE,5000.0
APP_000054,True,Borderline scores need CRB tie-breaker,50,"{'has_record': True, 'score': 376, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",39.2,REJECT,0.0
APP_000055,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000056,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 578, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",73.2,APPROVE,2000.0
APP_000057,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",54.400000000000006,REJECT,0.0
APP_000058,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000059,False,Sufficient data from Tier 1 and Tier 2,0,,65.2,APPROVE_REDUCED,2100.0
APP_000060,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 686, 'signal': 'Excellent credit history', 'score_boost': 20, 'cost': 50}",88.0,APPROVE,15000.0
APP_000061,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",67.6,APPROVE_REDUCED,14000.0
APP_000062,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",71.2,APPROVE,15000.0
APP_000063,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000064,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000065,False,Tier 1 score too low (fraud likely),0,,27.6,REJECT,0.0
APP_000066,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",53.2,REJECT,0.0
APP_000067,False,Sufficient data from Tier 1 and Tier 2,0,,69.6,APPROVE_REDUCED,1400.0
APP_000068,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",62.800000000000004,APPROVE_REDUCED,3500.0
APP_000069,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000070,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.8,REJECT,0.0
APP_000071,False,Sufficient data from Tier 1 and Tier 2,0,,63.2,APPROVE_REDUCED,700.0
APP_000072,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,20000.0
APP_000073,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",74.4,APPROVE,15000.0
APP_000074,False,Tier 1 score too low (fraud likely),0,,31.6,REJECT,0.0
APP_000075,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",73.2,APPROVE,3000.0
APP_000076,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000077,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000078,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 385, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",40.400000000000006,REJECT,0.0
APP_000079,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000080,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",60.0,APPROVE_REDUCED,14000.0
APP_000081,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 700, 'signal': 'Excellent credit history', 'score_boost': 20, 'cost': 50}",96.0,APPROVE,15000.0
APP_000082,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 565, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",86.0,APPROVE,5000.0
APP_000083,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",71.2,APPROVE,20000.0
APP_000084,False,Sufficient data from Tier 1 and Tier 2,0,,64.4,APPROVE_REDUCED,2100.0
APP_000085,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000086,False,Sufficient data from Tier 1 and Tier 2,0,,71.6,APPROVE,5000.0
APP_000087,False,Tier 1 score too low (fraud likely),0,,25.6,REJECT,0.0
APP_000088,False,Tier 1 score too low (fraud likely),0,,31.6,REJECT,0.0
APP_000089,False,Tier 1 score too low (fraud likely),0,,29.6,REJECT,0.0
APP_000090,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",72.4,APPROVE,15000.0
APP_000091,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000092,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 585, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",81.2,APPROVE,15000.0
APP_000093,True,Borderline scores need CRB tie-breaker,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",57.2,APPROVE_REDUCED,700.0
APP_000094,False,Sufficient data from Tier 1 and Tier 2,0,,65.2,APPROVE_REDUCED,700.0
APP_000095,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",61.2,APPROVE_REDUCED,14000.0
APP_000096,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",72.4,APPROVE,15000.0
APP_000097,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",64.0,APPROVE_REDUCED,7000.0
APP_000098,False,Tier 1 score too low (fraud likely),0,,25.6,REJECT,0.0
APP_000099,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 577, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",85.2,APPROVE,15000.0
APP_000100,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000101,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000102,False,Sufficient data from Tier 1 and Tier 2,0,,71.2,APPROVE,3000.0
APP_000103,True,Borderline scores need CRB tie-breaker,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",60.400000000000006,APPROVE_REDUCED,1400.0
APP_000104,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000105,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 546, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",75.6,APPROVE,20000.0
APP_000106,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,5000.0
APP_000107,False,Sufficient data from Tier 1 and Tier 2,0,,69.6,APPROVE_REDUCED,2100.0
APP_000108,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000109,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",68.4,APPROVE_REDUCED,14000.0
APP_000110,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 437, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",55.599999999999994,APPROVE_REDUCED,700.0
APP_000111,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000112,False,Sufficient data from Tier 1 and Tier 2,0,,69.2,APPROVE_REDUCED,7000.0
APP_000113,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 589, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",86.0,APPROVE,3000.0
APP_000114,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",74.4,APPROVE,20000.0
APP_000115,False,Sufficient data from Tier 1 and Tier 2,0,,67.2,APPROVE_REDUCED,2100.0
APP_000116,False,Sufficient data from Tier 1 and Tier 2,0,,71.6,APPROVE,10000.0
APP_000117,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",74.4,APPROVE,10000.0
APP_000118,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",64.0,APPROVE_REDUCED,2100.0
APP_000119,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000120,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",72.0,APPROVE,15000.0
APP_000121,False,Sufficient data from Tier 1 and Tier 2,0,,71.2,APPROVE,10000.0
APP_000122,False,Sufficient data from Tier 1 and Tier 2,0,,63.2,APPROVE_REDUCED,1400.0
APP_000123,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",60.800000000000004,APPROVE_REDUCED,10500.0
APP_000124,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000125,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 562, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",83.6,APPROVE,20000.0
APP_000126,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 507, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",56.4,APPROVE_REDUCED,700.0
APP_000127,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",70.4,APPROVE,20000.0
APP_000128,False,Sufficient data from Tier 1 and Tier 2,0,,67.2,APPROVE_REDUCED,7000.0
APP_000129,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",53.2,REJECT,0.0
APP_000130,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000131,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",71.2,APPROVE,15000.0
APP_000132,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,15000.0
APP_000133,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",73.2,APPROVE,3000.0
APP_000134,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 585, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",86.0,APPROVE,5000.0
APP_000135,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",55.6,APPROVE_REDUCED,7000.0
APP_000136,False,Sufficient data from Tier 1 and Tier 2,0,,70.4,APPROVE,1000.0
APP_000137,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 540, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",76.0,APPROVE,20000.0
APP_000138,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000139,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",60.4,APPROVE_REDUCED,7000.0
APP_000140,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",66.4,APPROVE_REDUCED,14000.0
APP_000141,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",74.4,APPROVE,3000.0
APP_000142,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",60.4,APPROVE_REDUCED,3500.0
APP_000143,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000144,False,Sufficient data from Tier 1 and Tier 2,0,,68.4,APPROVE_REDUCED,2100.0
APP_000145,False,Sufficient data from Tier 1 and Tier 2,0,,72.0,APPROVE,3000.0
APP_000146,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",64.4,APPROVE_REDUCED,10500.0
APP_000147,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",64.0,APPROVE_REDUCED,3500.0
APP_000148,False,Sufficient data from Tier 1 and Tier 2,0,,69.2,APPROVE_REDUCED,700.0
APP_000149,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 683, 'signal': 'Excellent credit history', 'score_boost': 20, 'cost': 50}",77.6,APPROVE,2000.0
APP_000150,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 453, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",76.0,APPROVE,5000.0
APP_000151,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 635, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",66.4,APPROVE_REDUCED,1400.0
APP_000152,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 623, 'signal': 'Good credit history', 'score_boost': 10, 'cost': 50}",86.0,APPROVE,1000.0
APP_000153,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",60.0,APPROVE_REDUCED,3500.0
APP_000154,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",62.400000000000006,APPROVE_REDUCED,7000.0
APP_000155,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000156,False,Sufficient data from Tier 1 and Tier 2,0,,51.2,REJECT,0.0
APP_000157,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 346, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",53.2,REJECT,0.0
APP_000158,True,"High-value loan (>= KES 15,000)",50,"{'has_record': True, 'score': 655, 'signal': 'Excellent credit history', 'score_boost': 20, 'cost': 50}",89.2,APPROVE,15000.0
APP_000159,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 700, 'signal': 'Excellent credit history', 'score_boost': 20, 'cost': 50}",94.4,APPROVE,10000.0
APP_000160,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",75.6,APPROVE,3000.0
APP_000161,False,Sufficient data from Tier 1 and Tier 2,0,,64.0,APPROVE_REDUCED,3500.0
APP_000162,False,Sufficient data from Tier 1 and Tier 2,0,,70.4,APPROVE,1000.0
APP_000163,False,Sufficient data from Tier 1 and Tier 2,0,,69.2,APPROVE_REDUCED,700.0
APP_000164,False,Sufficient data from Tier 1 and Tier 2,0,,69.6,APPROVE_REDUCED,700.0
APP_000165,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",72.4,APPROVE,15000.0
APP_000166,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,20000.0
APP_000167,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,10000.0
APP_000168,False,Sufficient data from Tier 1 and Tier 2,0,,69.6,APPROVE_REDUCED,2100.0
APP_000169,False,Sufficient data from Tier 1 and Tier 2,0,,66.4,APPROVE_REDUCED,2100.0
APP_000170,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000171,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",61.2,APPROVE_REDUCED,14000.0
APP_000172,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,5000.0
APP_000173,False,Sufficient data from Tier 1 and Tier 2,0,,70.4,APPROVE,5000.0
APP_000174,False,Tier 1 score too low (fraud likely),0,,24.0,REJECT,0.0
APP_000175,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 444, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",39.2,REJECT,0.0
APP_000176,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 430, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",40.4,REJECT,0.0
APP_000177,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 488, 'signal': 'Fair credit history', 'score_boost': 0, 'cost': 50}",73.6,APPROVE,3000.0
APP_000178,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",76.0,APPROVE,20000.0
APP_000179,False,Sufficient data from Tier 1 and Tier 2,0,,65.2,APPROVE_REDUCED,1400.0
APP_000180,False,Sufficient data from Tier 1 and Tier 2,0,,66.4,APPROVE_REDUCED,2100.0
APP_000181,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",63.2,APPROVE_REDUCED,14000.0
APP_000182,False,Tier 1 score too low (fraud likely),0,,24.8,REJECT,0.0
APP_000183,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': True, 'score': 404, 'signal': 'Poor credit history', 'score_boost': -20, 'cost': 50}",40.800000000000004,REJECT,0.0
APP_000184,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",71.6,APPROVE,15000.0
APP_000185,True,"High-value loan (>= KES 15,000)",50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",24.0,REJECT,0.0
APP_000186,False,Sufficient data from Tier 1 and Tier 2,0,,51.2,REJECT,0.0
APP_000187,True,Conflicting signals between Tier 1 and Tier 2,50,"{'has_record': False, 'score': 0, 'signal': 'No CRB record (unbanked)', 'cost': 50}",62.0,APPROVE_REDUCED,700.0
